TITLE = "Example : C3D20_ne1_P"
VARIABLES="NODE_ID"       "U1"           "U2"           "U3"          "E11"          "E22"          "E33"          "E12"          "E13"          "E23"          "S11"          "S22"          "S33"          "S12"          "S13"          "S23"
              1   0.000000E+00   0.000000E+00  -8.571429E-06   1.428571E-05  -4.285714E-06  -4.285714E-06  -1.608286E-21  -2.374295E-21  -1.252964E-21   3.000000E+00  -6.492665E-15  -5.826165E-16  -1.299000E-16  -1.917699E-16  -1.012010E-16
              2   0.000000E+00  -8.571429E-06  -8.571429E-06   1.428571E-05  -4.285714E-06  -4.285714E-06   2.578708E-21  -2.040499E-20   2.220173E-21   3.000000E+00   4.907002E-16   5.494938E-15   2.082802E-16  -1.648095E-15   1.793217E-16
              3   0.000000E+00   0.000000E+00   0.000000E+00   1.428571E-05  -4.285714E-06  -4.285714E-06  -2.851123E-20   2.609078E-20   2.289800E-21   3.000000E+00  -3.883778E-15  -3.715149E-15  -2.302830E-15   2.107332E-15   1.849454E-16
              4   0.000000E+00  -8.571429E-06   0.000000E+00   1.428571E-05  -4.285714E-06  -4.285714E-06   3.819571E-20  -1.468533E-21   3.165143E-20   3.000000E+00  -5.123283E-15  -7.363718E-15   3.085038E-15  -1.186122E-16   2.556461E-15
              5   2.857143E-05   0.000000E+00  -8.571429E-06   1.428571E-05  -4.285714E-06  -4.285714E-06   1.152777E-20   1.470123E-21   1.995458E-21   3.000000E+00   2.820842E-15   4.621831E-15   9.310891E-16   1.187407E-16   1.611716E-16
              6   2.857143E-05  -8.571429E-06  -8.571429E-06   1.428571E-05  -4.285714E-06  -4.285714E-06   7.432612E-21   2.968550E-20  -3.333041E-20   3.000000E+00  -2.415954E-15   6.913461E-15   6.003263E-16   2.397675E-15  -2.692071E-15
              7   2.857143E-05   0.000000E+00   0.000000E+00   1.428571E-05  -4.285714E-06  -4.285714E-06   8.173628E-22   2.560977E-21  -1.317754E-20   3.000000E+00   9.623905E-15  -3.074952E-15   6.601777E-17   2.068482E-16  -1.064340E-15
              8   2.857143E-05  -8.571429E-06   0.000000E+00   1.428571E-05  -4.285714E-06  -4.285714E-06  -4.473310E-20   1.687947E-20   9.597937E-21   3.000000E+00  -9.016802E-15  -1.504303E-15  -3.613058E-15   1.363342E-15   7.752180E-16
              9   2.857143E-05   0.000000E+00  -4.285714E-06   1.428571E-05  -4.285714E-06  -4.285714E-06   1.885544E-21  -9.934356E-21   4.686213E-21   3.000000E+00  -2.390897E-15   1.959702E-15   1.522940E-16  -8.023903E-16   3.785018E-16
             10   2.857143E-05  -4.285714E-06   0.000000E+00   1.428571E-05  -4.285714E-06  -4.285714E-06  -1.275255E-20  -4.917980E-21  -2.402721E-21   3.000000E+00  -8.595399E-16   3.032744E-15  -1.030014E-15  -3.972215E-16  -1.940659E-16
             11   2.857143E-05  -8.571429E-06  -4.285714E-06   1.428571E-05  -4.285714E-06  -4.285714E-06   5.642287E-22   1.411637E-20   1.218814E-20   3.000000E+00  -3.974357E-15  -5.464614E-15   4.557232E-17   1.140168E-15   9.844270E-16
             12   2.857143E-05  -4.285714E-06  -8.571429E-06   1.428571E-05  -4.285714E-06  -4.285714E-06   1.658246E-20  -1.354557E-21   8.106170E-21   3.000000E+00  -2.218133E-15   7.228138E-16   1.339353E-15  -1.094065E-16   6.547291E-16
             13   0.000000E+00  -4.285714E-06  -8.571429E-06   1.428571E-05  -4.285714E-06  -4.285714E-06   2.944777E-21   1.175762E-20  -1.387109E-20   3.000000E+00   2.284351E-15   6.957248E-15   2.378473E-16   9.496542E-16  -1.120357E-15
             14   0.000000E+00  -8.571429E-06  -4.285714E-06   1.428571E-05  -4.285714E-06  -4.285714E-06   1.896124E-20  -2.201362E-21  -1.034833E-20   3.000000E+00   7.440034E-16  -7.104780E-16   1.531485E-15  -1.778023E-16  -8.358264E-16
             15   0.000000E+00  -4.285714E-06   0.000000E+00   1.428571E-05  -4.285714E-06  -4.285714E-06  -1.393565E-20   1.017459E-20  -4.979042E-21   3.000000E+00  -2.629779E-15  -4.537887E-15  -1.125571E-15   8.217938E-16  -4.021534E-16
             16   0.000000E+00   0.000000E+00  -4.285714E-06   1.428571E-05  -4.285714E-06  -4.285714E-06  -2.362277E-20   7.262750E-21   2.893979E-21   3.000000E+00  -4.295524E-16   1.790558E-15  -1.907993E-15   5.866067E-16   2.337445E-16
             17   1.428571E-05  -8.571429E-06  -8.571429E-06   1.428571E-05  -4.285714E-06  -4.285714E-06   1.108181E-20   4.031181E-21   2.586285E-21   3.000000E+00  -3.225876E-15  -1.797198E-15   8.950694E-16   3.255954E-16   2.088923E-16
             18   1.428571E-05   0.000000E+00  -8.571429E-06   1.428571E-05  -4.285714E-06  -4.285714E-06  -1.639432E-21   5.893230E-21  -4.466941E-21   3.000000E+00  -4.656085E-15   2.033419E-16  -1.324157E-16   4.759917E-16  -3.607914E-16
             19   1.428571E-05  -8.571429E-06   0.000000E+00   1.428571E-05  -4.285714E-06  -4.285714E-06  -1.646017E-20   4.655155E-21   7.694840E-21   3.000000E+00   5.421651E-15   1.069385E-15  -1.329475E-15   3.759933E-16   6.215063E-16
             20   1.428571E-05   0.000000E+00   0.000000E+00   1.428571E-05  -4.285714E-06  -4.285714E-06   3.658087E-22   2.033849E-21  -2.338888E-21   3.000000E+00  -4.990520E-15  -5.610804E-16   2.954609E-17   1.642725E-16  -1.889102E-16

