TITLE = "Example : C3D20_ne1"
VARIABLES="NODE_ID"       "U1"           "U2"           "U3"          "E11"          "E22"          "E33"          "E12"          "E13"          "E23"          "S11"          "S22"          "S33"          "S12"          "S13"          "S23"
              1   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
              2  -3.645984E-05  -1.604892E-04   1.057143E-04   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
              3   0.000000E+00   0.000000E+00   0.000000E+00   1.528145E-05  -4.245206E-05   1.528145E-05   1.114286E-04  -1.114286E-04  -1.114286E-04   1.028124E+00  -8.298057E+00   1.028124E+00   9.000000E+00  -9.000000E+00  -9.000000E+00
              4   1.428571E-05  -3.951083E-05  -3.496873E-05   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
              5   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
              6  -3.428571E-05  -3.951083E-05   5.496873E-05   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
              7   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
              8  -6.925444E-05   3.951083E-05   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
              9   6.756564E-05   6.292278E-05  -2.900012E-06  -2.808982E-05   2.040778E-05  -2.808982E-05  -7.955722E-07   7.955722E-07  -9.922441E-06  -8.871484E+00  -1.037257E+00  -8.871484E+00  -6.425776E-02   6.425776E-02  -8.014280E-01
             10  -8.133568E-05   2.026581E-05  -5.663711E-05   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
             11   4.309354E-05  -7.113707E-05   2.970882E-05   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
             12  -9.877997E-05  -2.133724E-05   8.633568E-05   6.810608E-05  -2.989873E-05  -1.546535E-05   2.944829E-05  -5.571429E-05  -2.785714E-05   1.375703E+01  -2.074514E+00   2.570310E-01   2.378516E+00  -4.500000E+00  -2.250000E+00
             13   7.062139E-05  -7.330562E-05   6.735140E-05   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
             14  -1.141650E-04  -9.292278E-05   3.421975E-05   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
             15   5.163711E-05  -2.133724E-05  -3.919282E-05   5.119590E-05  -1.173508E-05  -3.237553E-05   7.955722E-07  -2.706157E-05  -1.793470E-05   9.128516E+00  -1.037257E+00  -4.371484E+00   6.425776E-02  -2.185742E+00  -1.448572E+00
             16  -5.435136E-05   6.137069E-06  -2.457130E-06   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
             17  -3.421975E-05   1.042278E-05  -2.380782E-05  -1.595908E-05   1.189807E-05   1.189807E-05  -1.593164E-05   2.585408E-05   1.205810E-05  -1.628516E+00   2.871484E+00   2.871484E+00  -1.286786E+00   2.088214E+00   9.739236E-01
             18   2.457130E-06  -9.720850E-05  -4.899421E-05   1.881622E-05  -3.689807E-05   1.881622E-05   2.986021E-05  -2.986021E-05  -1.579904E-05   3.128516E+00  -5.871484E+00   3.128516E+00   2.411786E+00  -2.411786E+00  -1.276076E+00
             19  -2.970882E-05   3.220850E-05   9.487925E-05  -3.165711E-05   2.407116E-06   2.405718E-05   2.906464E-05  -1.272108E-05  -2.572148E-05  -5.742969E+00  -2.402870E-01   3.257031E+00   2.347528E+00  -1.027472E+00  -2.077504E+00
             20   2.900012E-06  -4.042278E-05   3.577993E-05  -5.380825E-05   9.122727E-06   2.976318E-05   1.112993E-05   1.513606E-05   2.135660E-06  -1.050000E+01  -3.342273E-01   3.000000E+00   8.989562E-01   1.222528E+00   1.724957E-01

