TITLE = "Example : Job-real_large_freq_element384"
VARIABLES="NODE_ID"       "U1"           "U2"           "U3"          "E11"          "E22"          "E33"          "E12"          "E13"          "E23"          "S11"          "S22"          "S33"          "S12"          "S13"          "S23"
              1   1.351506E-01   2.394763E-03   7.363685E-04  -7.579209E-05  -3.863532E-06   2.147265E-05  -2.036008E-05   4.316854E-06   1.394718E-05  -6.614547E+00  -2.630812E+00  -1.227577E+00  -5.638177E-01   1.195436E-01   3.862297E-01
              2   1.346876E-01   2.092207E-03   4.395498E-05  -4.514754E-05   9.313792E-06   1.119758E-05   3.330012E-06   2.452160E-06   9.978189E-06  -5.871619E+00  -9.845035E-01  -8.250404E-01   2.461468E-01   1.000114E-01   3.285512E-01
              3   1.347888E-01   2.142950E-03  -6.949696E-05  -3.225351E-05   6.603749E-06   4.473488E-06  -1.469541E-05  -2.537288E-06   6.351321E-06  -2.665978E+00  -5.138836E-01  -6.318673E-01  -4.069498E-01  -7.026337E-02   1.758827E-01
              4   1.348796E-01   2.321411E-03   5.646763E-04   1.149291E-05  -1.533530E-05   1.005996E-05  -8.275738E-06  -1.040044E-05  -6.959591E-06   8.947989E-01  -5.910712E-01   8.154354E-01  -2.291743E-01  -2.880121E-01  -1.927271E-01
              5   1.331136E-01   1.810175E-03   3.570215E-05   1.937925E-05  -7.821356E-07  -3.712288E-05  -3.595585E-06  -1.143183E-05  -1.368407E-05   5.122671E-01  -1.918992E+00  -7.166460E+00  -1.840409E-01  -5.858555E-01  -6.960061E-01
              6   1.333091E-01   1.805606E-03  -8.829009E-05   4.069098E-06   3.739896E-06  -2.594175E-06   1.437342E-06  -4.354780E-06  -7.230406E-06   4.419810E-01   4.237483E-01   7.293823E-02   3.980331E-02  -1.205939E-01  -2.002266E-01
              7   1.332647E-01   2.072064E-03   4.129954E-04  -5.680785E-06   4.149350E-06   5.108132E-06  -1.989955E-05   1.073227E-06   3.863883E-06  -1.660576E-01   3.783806E-01   4.314824E-01  -5.510645E-01   2.972014E-02   1.069998E-01
              8   1.331235E-01   2.049760E-03   4.404447E-04  -1.243024E-06   1.617046E-06   8.119739E-06   5.134774E-06   3.925577E-06  -8.471865E-07   2.839734E-01   4.423773E-01   8.025264E-01   1.421937E-01   1.087083E-01  -2.346055E-02
              9   1.357975E-01   2.542980E-03   5.259843E-05   6.628546E-08  -2.937629E-08   1.619468E-07   2.819906E-09  -5.650873E-08  -1.151971E-07   1.193137E-02   6.633178E-03   1.722954E-02   7.808971E-05  -1.564857E-03  -3.190073E-03
             10   1.357979E-01   2.348237E-03   4.949035E-05  -1.061776E-08   2.269025E-08   4.510540E-08  -4.986314E-08  -8.754439E-08   1.074538E-07   4.350151E-03   7.540781E-03   1.596624E-02  -1.639825E-03  -3.460713E-03   4.040939E-03
             11   1.359364E-01   2.348391E-03   4.055940E-05   1.342138E-08  -4.322714E-10   1.228349E-07  -6.344589E-08   1.377545E-07   6.420122E-09   6.385258E-03   5.617979E-03   1.244508E-02  -1.756963E-03   3.814741E-03   1.777880E-04
             12   1.359365E-01   2.542817E-03   4.299767E-05  -1.837328E-08  -2.352897E-08   2.135685E-09   4.181170E-08  -1.187446E-07   7.630663E-08  -2.669439E-03  -2.954985E-03  -1.533558E-03   1.157862E-03  -3.288313E-03   2.113107E-03
             13   1.357898E-01   2.313225E-03   4.492935E-05  -1.895911E-07  -1.106947E-07   6.727200E-07  -2.222718E-08   1.782484E-07  -2.430343E-07   3.352544E-03   1.705302E-02   1.067010E-01   1.030053E-05   3.265373E-03  -1.075047E-02
             14   1.359278E-01   2.313197E-03   3.940933E-05  -3.667789E-08   4.879640E-08  -7.827700E-09  -4.961010E-08   8.055015E-08   3.314508E-08  -1.853157E-03   2.880804E-03  -2.553006E-04  -1.373818E-03   2.230619E-03   9.178639E-04
             15   1.359283E-01   2.507682E-03   4.216898E-05  -2.552227E-08  -4.501974E-08   8.073265E-08  -1.720341E-09   8.422521E-08  -8.783672E-08  -9.902376E-04  -2.070098E-03   4.894650E-03  -4.764021E-05   2.332390E-03  -2.432401E-03
             16   1.357891E-01   2.508031E-03   5.115682E-05   1.257400E-07  -8.965677E-08  -1.778614E-08  -9.420872E-09  -7.390023E-08  -3.502453E-08   7.724099E-03  -4.205571E-03  -2.250437E-04  -2.608857E-04  -2.046468E-03  -9.699100E-04
             17   1.361000E-01   2.734432E-03   6.891616E-05   8.109525E-09   2.672569E-10   1.043953E-08  -3.885073E-09  -1.789035E-08  -1.162937E-08   1.230744E-03   7.964026E-04   1.359790E-03  -1.075866E-04  -4.954252E-04  -3.220441E-04
             18   1.361000E-01   2.524499E-03   6.243826E-05  -3.784618E-08   4.468460E-09   2.248236E-08  -3.003776E-08  -4.469995E-09   4.830084E-09  -4.389441E-03  -9.063984E-04   8.056195E-04  -1.122994E-03  -6.793634E-05   2.013536E-04
             19   1.362498E-01   2.524567E-03   5.479104E-05  -2.788677E-10   1.391394E-08   2.929080E-08  -2.768309E-09   1.423793E-08   1.262889E-08   1.767630E-03   2.553693E-03   3.405335E-03  -7.666086E-05   3.942811E-04   3.497231E-04
             20   1.362499E-01   2.734431E-03   6.113442E-05   6.853339E-09   3.909799E-10  -2.102060E-09   7.808762E-09  -9.839634E-09  -7.845975E-10   5.931711E-04   2.352558E-04   9.717980E-05   2.162426E-04  -2.724822E-04  -2.172732E-05
             21   1.360813E-01   2.493722E-03   6.163557E-05   3.336971E-08  -2.733677E-08   3.898386E-08   5.193363E-09   3.805555E-08  -5.100003E-08   5.722309E-03  -4.933060E-04   4.970623E-03   2.461487E-04   1.239270E-03  -1.971216E-03
             22   1.362313E-01   2.493675E-03   5.437170E-05  -2.229786E-08   2.638830E-09   1.264391E-08  -2.404473E-09   9.969728E-09   4.454957E-09  -1.526356E-03  -1.452468E-04   4.088805E-04  -6.658542E-05   2.760848E-04   1.233680E-04
             23   1.362313E-01   2.703781E-03   6.111501E-05   1.987717E-09  -9.720837E-09   4.042605E-09  -6.973363E-10   1.139912E-08  -1.924765E-08  -4.320933E-05  -6.916831E-04   7.059986E-05  -1.931085E-05   3.156678E-04  -5.330118E-04
             24   1.360811E-01   2.703836E-03   6.890671E-05   1.066166E-08  -1.122546E-08  -9.494955E-09  -3.336729E-09  -2.786037E-08  -4.807481E-11   1.726663E-04  -1.039543E-03  -9.436999E-04  -9.240173E-05  -7.715180E-04  -1.331302E-06
             25   1.334234E-01  -1.899458E-03   4.396887E-05   9.802055E-06  -3.865799E-07  -8.990747E-06  -6.765833E-07   2.891485E-07  -3.435534E-06   1.176719E+00   1.670877E-01  -6.811814E-01  -4.136453E-02   1.574857E-02  -1.497700E-01
             26   1.334495E-01  -2.061428E-03  -1.199060E-06  -6.991407E-08  -1.109210E-06   6.008250E-06  -2.981009E-07   1.774352E-06   2.704138E-06   1.967223E-01   1.391613E-01   5.333591E-01  -8.255102E-03   4.913591E-02   7.488382E-02
             27   1.335586E-01  -2.070435E-03   2.831535E-05  -1.459824E-06  -1.947589E-06   2.716183E-08  -3.465277E-07  -2.434914E-06  -2.984331E-06  -2.212622E-01  -2.482769E-01  -1.389061E-01  -9.596152E-03  -6.742839E-02  -8.264302E-02
             28   1.335467E-01  -1.909923E-03   1.205543E-04   2.824843E-06  -1.960258E-06   1.287903E-06   2.688517E-07   4.813764E-06  -1.791664E-06   2.458639E-01  -1.915709E-02   1.607411E-01   7.445125E-03   1.333042E-01  -4.961532E-02
             29   1.331698E-01  -1.912917E-03  -6.029447E-05  -1.209717E-07  -1.736900E-06  -9.870928E-08   2.113436E-06   3.559341E-06   2.662305E-06  -8.797335E-02  -1.774709E-01  -8.674036E-02   5.852591E-02   9.856636E-02   7.372536E-02
             30   1.333281E-01  -1.914962E-03  -6.333216E-06  -2.347231E-06   6.531244E-07   3.437694E-06   5.281467E-07   5.167336E-07   4.197683E-07  -5.757454E-02   1.085990E-01   2.628213E-01   1.462560E-02   1.430955E-02   1.162435E-02
             31   1.333525E-01  -1.698722E-03   1.405633E-04   2.181060E-06   3.787081E-06  -3.288806E-06   2.074087E-06   3.767920E-06  -3.927372E-06   2.320926E-01   3.210415E-01  -7.085376E-02   5.743626E-02   1.043424E-01  -1.087580E-01
             32   1.331987E-01  -1.732243E-03   1.250249E-05  -2.318665E-05   1.967062E-06   3.784894E-05   5.968087E-08   1.194309E-05  -7.718553E-06  -7.630449E-01   1.907033E+00   7.227199E+00  -2.447220E-02   6.065835E-01  -5.104723E-01
             33   1.358042E-01  -2.301111E-03  -4.525941E-05   1.722807E-07  -1.193087E-08  -2.250862E-07  -4.575772E-08   8.317501E-08   2.422940E-08   1.427025E-02  -3.864301E-03  -2.935288E-02  -1.657254E-03   3.257411E-03   5.729979E-04
             34   1.358044E-01  -2.495940E-03  -5.326444E-05  -4.915200E-08   1.379813E-08  -5.713920E-09  -9.726152E-09   5.792309E-08  -3.622448E-08  -4.428158E-03  -9.416890E-04  -2.022356E-03  -2.693396E-04   1.604024E-03  -1.003139E-03
