TITLE = "Example : C3D20-cantilever-beam-element320"
VARIABLES="NODE_ID"       "U1"           "U2"           "U3"          "E11"          "E22"          "E33"          "E12"          "E13"          "E23"          "S11"          "S22"          "S33"          "S12"          "S13"          "S23"
              1   0.000000E+00   0.000000E+00   0.000000E+00  -3.338639E-09   6.483304E-25   3.501040E-24  -6.236588E-10  -8.037182E-25   1.348144E-09  -9.438077E+02  -4.044890E+02  -4.044890E+02  -5.037244E+01  -6.442039E-14   1.088886E+02
              2   0.000000E+00   0.000000E+00   0.000000E+00  -1.660947E-09  -8.120093E-25   9.454026E-25   4.424181E-10   4.809676E-25   7.363433E-10  -4.695369E+02  -2.012301E+02  -2.012301E+02   3.573377E+01   3.896921E-14   5.947388E+01
              3   0.000000E+00   0.000000E+00   0.000000E+00  -1.518793E-10  -5.102788E-26   1.302021E-26   6.441042E-10   4.669684E-25   5.115628E-11  -4.293512E+01  -1.840077E+01  -1.840077E+01   5.202380E+01   3.649377E-14   4.131854E+00
              4   0.000000E+00   0.000000E+00   0.000000E+00   1.377070E-09   3.325390E-25  -1.161851E-24   4.852921E-10   3.066852E-25  -6.442014E-10   3.892871E+02   1.668373E+02   1.668373E+02   3.919667E+01   2.494049E-14  -5.203165E+01
              5   0.000000E+00   0.000000E+00   0.000000E+00   2.987204E-09   8.595836E-26  -1.362694E-24  -4.772628E-10  -1.132422E-24  -1.286982E-09   8.444595E+02   3.619112E+02   3.619112E+02  -3.854815E+01  -9.197613E-14  -1.039486E+02
              6   0.000000E+00   0.000000E+00   0.000000E+00  -2.639280E-09   9.709999E-25  -8.410871E-25  -8.676255E-10  -6.460657E-25   3.600957E-10  -7.461040E+02  -3.197589E+02  -3.197589E+02  -7.007745E+01  -5.161020E-14   2.908465E+01
              7   0.000000E+00   0.000000E+00   0.000000E+00  -1.090113E-09  -5.761894E-25  -6.993686E-25   1.190194E-10   7.650420E-26   1.857941E-10  -3.081666E+02  -1.320714E+02  -1.320714E+02   9.613106E+00   5.551445E-15   1.500644E+01
              8   0.000000E+00   0.000000E+00   0.000000E+00  -5.968405E-11   5.290069E-26  -9.539781E-26   2.957835E-10  -4.169451E-28  -5.262635E-12  -1.687222E+01  -7.230953E+00  -7.230953E+00   2.389020E+01  -3.599192E-16  -4.250590E-01
              9   0.000000E+00   0.000000E+00   0.000000E+00   9.753643E-10   4.574675E-25   2.967715E-25   1.404641E-10   3.772596E-28  -2.002098E-10   2.757280E+02   1.181691E+02   1.181691E+02   1.134518E+01   3.114093E-16  -1.617079E+01
             10   0.000000E+00   0.000000E+00   0.000000E+00   2.470501E-09  -8.240625E-25   2.943048E-25  -7.909286E-10  -5.837996E-25  -4.116351E-10   6.983916E+02   2.993107E+02   2.993107E+02  -6.388270E+01  -4.603185E-14  -3.324745E+01
             11   0.000000E+00   0.000000E+00   0.000000E+00  -2.733828E-09   1.265448E-24  -5.640208E-26  -9.208130E-10   6.442766E-26  -3.578359E-11  -7.728321E+02  -3.312137E+02  -3.312137E+02  -7.437336E+01   4.863813E-15  -2.890213E+00
             12   0.000000E+00   0.000000E+00   0.000000E+00  -1.074313E-09  -1.028798E-24  -1.732486E-25   9.472736E-11  -1.334458E-26  -1.643243E-11  -3.037000E+02  -1.301571E+02  -1.301571E+02   7.651056E+00  -1.544481E-15  -1.327234E+00
             13   0.000000E+00   0.000000E+00   0.000000E+00  -3.723371E-19  -1.370281E-25  -6.882975E-26   2.557954E-10   5.375341E-26  -1.421085E-11  -1.052569E-07  -4.511015E-08  -4.511014E-08   2.066039E+01   5.688317E-15  -1.147800E+00
             14   0.000000E+00   0.000000E+00   0.000000E+00   1.074313E-09   3.848934E-25  -2.563231E-26   9.472737E-11   8.664987E-26  -1.643241E-11   3.037000E+02   1.301571E+02   1.301571E+02   7.651057E+00   6.636232E-15  -1.327233E+00
             15   0.000000E+00   0.000000E+00   0.000000E+00   2.733828E-09  -1.659094E-24   4.549612E-25  -9.208130E-10  -3.978416E-25  -3.578354E-11   7.728321E+02   3.312137E+02   3.312137E+02  -7.437336E+01  -3.218333E-14  -2.890209E+00
             16   0.000000E+00   0.000000E+00   0.000000E+00  -2.470501E-09   1.475294E-24  -2.753563E-25  -7.909286E-10  -8.520821E-26  -4.116352E-10  -6.983916E+02  -2.993107E+02  -2.993107E+02  -6.388269E+01  -6.547173E-15  -3.324745E+01
