TITLE = "Example : C3D20_ne1"
VARIABLES= "X"   "Y"   "Z" 

ZONE F=FEPOINT N =    20 E =     1 ET=BRICK C=CYAN 
  0.0000E+00  0.0000E+00  0.0000E+00
  2.0000E+00  0.0000E+00  0.0000E+00
  2.0000E+00  2.0000E+00  0.0000E+00
  0.0000E+00  2.0000E+00  0.0000E+00
  0.0000E+00  0.0000E+00  2.0000E+00
  2.0000E+00  0.0000E+00  2.0000E+00
  2.0000E+00  2.0000E+00  2.0000E+00
  0.0000E+00  2.0000E+00  2.0000E+00
  1.0000E+00  0.0000E+00  0.0000E+00
  2.0000E+00  1.0000E+00  0.0000E+00
  1.0000E+00  2.0000E+00  0.0000E+00
  0.0000E+00  1.0000E+00  0.0000E+00
  1.0000E+00  0.0000E+00  2.0000E+00
  2.0000E+00  1.0000E+00  2.0000E+00
  1.0000E+00  2.0000E+00  2.0000E+00
  0.0000E+00  1.0000E+00  2.0000E+00
  0.0000E+00  0.0000E+00  1.0000E+00
  2.0000E+00  0.0000E+00  1.0000E+00
  2.0000E+00  2.0000E+00  1.0000E+00
  0.0000E+00  2.0000E+00  1.0000E+00
      1      2      3      4      5      6      7      8      9     10     11     12     13     14     15     16     17     18     19     20
