TITLE = "Example : C3D20_ne1"
VARIABLES="NODE_ID"       "U1"           "U2"           "U3"          "E11"          "E22"          "E33"          "E12"          "E13"          "E23"          "S11"          "S22"          "S33"          "S12"          "S13"          "S23"
              1   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
              2   3.000000E-05   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
              3   3.000000E-05  -9.000000E-06   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
              4   0.000000E+00  -9.000000E-06   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
              5   0.000000E+00   0.000000E+00  -9.000000E-06   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
              6   3.000000E-05   0.000000E+00  -9.000000E-06   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
              7   3.000000E-05  -9.000000E-06  -9.000000E-06   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
              8   0.000000E+00  -9.000000E-06  -9.000000E-06   5.188902E-20   3.237750E-20  -4.981727E-20  -4.442160E-20  -1.593153E-19  -2.798752E-20   1.691501E-14   5.768888E-15  -9.230221E-15  -3.417046E-15  -1.225503E-14  -2.152886E-15
              9   1.500000E-05   0.000000E+00   0.000000E+00  -4.189310E-20   5.908783E-20  -8.041295E-20  -1.331209E-19  -1.998232E-19  -1.029051E-19  -7.120220E-15   9.426217E-16  -2.129237E-14  -1.024007E-14  -1.537101E-14  -7.915774E-15
             10   3.000000E-05  -4.500000E-06   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
             11   1.500000E-05  -9.000000E-06   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
             12   0.000000E+00  -4.500000E-06   0.000000E+00  -5.872043E-21  -6.088972E-21   3.966983E-20   7.399599E-20   1.042569E-20   1.486722E-20  -2.915913E-15   6.258877E-16   8.163343E-15   5.692000E-15   8.019763E-16   1.143632E-15
             13   1.500000E-05   0.000000E+00  -9.000000E-06   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
             14   3.000000E-05  -4.500000E-06  -9.000000E-06   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
             15   1.500000E-05  -9.000000E-06  -9.000000E-06  -8.127649E-20   2.521498E-20   1.184081E-20  -8.805141E-20  -8.707931E-20  -1.437634E-19  -1.547068E-14  -2.181268E-15  -4.475694E-15  -6.773185E-15  -6.698408E-15  -1.105872E-14
             16   0.000000E+00  -4.500000E-06  -9.000000E-06   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
             17   0.000000E+00   0.000000E+00  -4.500000E-06   2.250000E-05  -6.750000E-06  -6.750000E-06  -8.448323E-20  -6.029051E-21   7.324044E-20   4.500000E+00   9.203104E-16  -1.023583E-14  -6.498710E-15  -4.637731E-16   5.633880E-15
             18   3.000000E-05   0.000000E+00  -4.500000E-06   2.250000E-05  -6.750000E-06  -6.750000E-06   1.708442E-20   9.334388E-20   8.409431E-20   4.500000E+00   3.706757E-15   7.945780E-15   1.314186E-15   7.180298E-15   6.468793E-15
             19   3.000000E-05  -9.000000E-06  -4.500000E-06   2.250000E-05  -6.750000E-06  -6.750000E-06  -1.429415E-20  -8.500719E-21   3.817299E-21   4.500000E+00  -4.302063E-17  -1.284441E-15  -1.099550E-15  -6.539015E-16   2.936384E-16
             20   0.000000E+00  -9.000000E-06  -4.500000E-06   2.250000E-05  -6.750000E-06  -6.750000E-06   1.661384E-19   1.056682E-19   8.684515E-20   4.500000E+00  -3.107557E-16   7.595207E-15   1.277988E-14   8.128325E-15   6.680396E-15

