TITLE = "Example : C3D20_ne1"
VARIABLES="NODE_ID"       "U1"           "U2"           "U3"          "E11"          "E22"          "E33"          "E12"          "E13"          "E23"          "S11"          "S22"          "S33"          "S12"          "S13"          "S23"
              1   1.065845E-05  -2.000000E-05   7.701259E-07   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
              2   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
              3   1.065845E-05  -2.000000E-05  -7.701259E-07   9.525956E-21  -3.087691E-21  -3.335279E-21   4.499649E-20  -5.757558E-20  -8.914286E-06   1.898813E-15  -6.399734E-17  -1.653044E-16   3.651753E-15  -4.615014E-15  -7.200000E-01
              4   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
              5  -1.065845E-05  -2.000000E-05   7.701259E-07   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
              6   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
              7  -1.065845E-05  -2.000000E-05  -7.701259E-07   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
              8   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
              9  -4.032478E-06  -1.479027E-05   8.788293E-20   3.000000E-07  -2.571429E-07   3.000000E-07  -1.114286E-06  -1.114286E-06  -1.114286E-06   9.000000E-02   1.183799E-15   9.000000E-02  -9.000000E-02  -9.000000E-02  -9.000000E-02
             10   2.818192E-06  -9.571429E-06   2.467522E-06   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
             11  -6.361700E-06  -4.209728E-06  -2.790867E-21   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
             12   2.818192E-06  -9.571429E-06  -2.467522E-06  -1.475038E-21  -4.895113E-21  -1.060525E-21   1.779177E-20   2.228571E-06  -2.228571E-06  -1.174978E-15  -1.719559E-15  -1.092809E-15   1.445704E-15   1.800000E-01  -1.800000E-01
             13  -2.818192E-06  -9.571429E-06  -2.467522E-06   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
             14   6.361700E-06  -4.209728E-06  -5.331071E-22   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
             15  -2.818192E-06  -9.571429E-06   2.467522E-06  -3.000000E-07   2.571429E-07  -3.000000E-07  -1.114286E-06   1.114286E-06  -1.114286E-06  -9.000000E-02  -1.090734E-15  -9.000000E-02  -9.000000E-02   9.000000E-02  -9.000000E-02
             16   4.032478E-06  -1.479027E-05   9.785001E-20   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
             17  -2.098947E-21  -9.504557E-06   1.066871E-06  -1.785714E-07   1.000000E-07  -1.785714E-07   5.571429E-07  -5.571429E-07   2.228571E-06  -6.000000E-02  -1.500000E-02  -6.000000E-02   4.500000E-02  -4.500000E-02   1.800000E-01
             18  -9.749062E-20  -9.495443E-06   3.681808E-06  -1.785714E-07   1.000000E-07  -1.785714E-07   5.571429E-07   5.571429E-07  -2.228571E-06  -6.000000E-02  -1.500000E-02  -6.000000E-02   4.500000E-02   4.500000E-02  -1.800000E-01
             19   9.020574E-21  -9.504557E-06  -1.066871E-06   1.214286E-07  -1.571429E-07   1.214286E-07   5.571429E-07  -5.571429E-07  -1.114286E-06   3.000000E-02  -1.500000E-02   3.000000E-02   4.500000E-02  -4.500000E-02  -9.000000E-02
             20  -1.128939E-19  -9.495443E-06  -3.681808E-06   1.214286E-07  -1.571429E-07   1.214286E-07   5.571429E-07  -1.671429E-06  -1.114286E-06   3.000000E-02  -1.500000E-02   3.000000E-02   4.500000E-02  -1.350000E-01  -9.000000E-02

