TITLE = "Example : modal_C3D20_ne1"
VARIABLES="NODE_ID"       "U1"           "U2"           "U3"          "E11"          "E22"          "E33"          "E12"          "E13"          "E23"          "S11"          "S22"          "S33"          "S12"          "S13"          "S23"
              1   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
              2   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
              3   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
              4   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
              5   3.778692E-06   2.873921E-06   1.908441E-06   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
              6   1.239698E-05   5.195349E-06  -2.491074E-06   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
              7   1.239698E-05  -5.195349E-06  -2.491074E-06   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
              8   3.778692E-06  -2.873921E-06   1.908441E-06  -2.095270E-21   2.727435E-22   9.986927E-22  -3.390285E-21   9.530075E-07  -2.249626E-21  -3.582450E-16   4.063908E-17   3.428113E-16  -2.743215E-16   7.697368E-02  -2.024083E-16
              9   0.000000E+00   0.000000E+00   0.000000E+00  -1.722077E-21   1.180592E-22   2.376410E-21  -3.490162E-21   1.160374E-21   2.474483E-21  -1.556889E-16   1.410864E-16   5.209364E-16  -2.838612E-16   8.796204E-17   2.035937E-16
             10   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
             11   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
             12   0.000000E+00   0.000000E+00   0.000000E+00  -4.247298E-07   1.313440E-07  -3.344690E-08   1.175150E-21   2.382519E-07   1.878992E-07  -1.082072E-01  -1.837993E-02  -4.500000E-02   9.539904E-17   1.924342E-02   1.517647E-02
             13   7.379954E-06  -1.666057E-06  -3.501401E-07   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
             14   6.658108E-06  -2.293106E-20  -3.527341E-06   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
             15   7.379954E-06   1.666057E-06  -3.501401E-07  -1.434160E-21   2.168703E-07  -8.888628E-07  -3.175861E-21  -4.362224E-21   3.757983E-07  -8.141447E-02  -4.638158E-02  -2.250000E-01  -2.587086E-16  -3.593323E-16   3.035294E-02
             16   9.441202E-06   8.038384E-21   2.827061E-06   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
             17   1.605911E-06   2.579295E-06   1.752224E-06   3.385834E-07  -1.065964E-07  -1.983117E-08   5.421758E-08   1.016469E-07  -9.394958E-08   8.039774E-02   8.484085E-03   2.250000E-02   4.379112E-03   8.209946E-03  -7.588235E-03
             18   6.913375E-06   1.571306E-06  -1.984717E-06   3.385834E-07  -1.065964E-07  -1.983117E-08  -5.421758E-08  -1.016469E-07  -9.394958E-08   8.039774E-02   8.484085E-03   2.250000E-02  -4.379112E-03  -8.209946E-03  -7.588235E-03
             19   6.913375E-06  -1.571306E-06  -1.984717E-06   4.991597E-08  -1.142335E-07   4.255238E-07  -1.084352E-07   2.732099E-07   3.692437E-07   5.182488E-02   2.530844E-02   1.125000E-01  -8.758224E-03   2.206695E-02   2.982353E-02
             20   1.605911E-06  -2.579295E-06   1.752224E-06   4.991597E-08  -1.142335E-07   4.255238E-07   1.084352E-07   2.032939E-07   3.692437E-07   5.182488E-02   2.530844E-02   1.125000E-01   8.758224E-03   1.641989E-02   2.982353E-02

