
 Job-27 

 C O N T R O L   I N F O R M A T I O N

      NUMBER OF NODAL POINTS . . . . . . . . . . (NUMNP)  =        525 
      NUMBER OF ELEMENT GROUPS . . . . . . . . . (NUMEG)  =          1 
      NUMBER OF LOAD CASES . . . . . . . . . . . (NLCASE) =          1 
      SOLUTION MODE  . . . . . . . . . . . . . . (MODEX)  =          2 
         EQ.0, DATA CHECK 
         EQ.1, EXECUTION - 一维变带宽存储刚度矩阵
         EQ.2, EXECUTION - Matlab稀疏矩阵左除R


 N O D A L   P O I N T   D A T A 

       NODE                BOUNDARY                           NODAL POINT
      NUMBER     CONDITION  CODES                     COORDINATES
                              X    Y    Z               X               Y              Z
         1                   1    1    1              0.000       -5.000       10.000
         2                   1    1    1              0.000       -2.500       10.000
         3                   1    1    1              0.000        0.000       10.000
         4                   1    1    1              0.000        2.500       10.000
         5                   1    1    1              0.000        5.000       10.000
         6                   1    1    1              0.000       -5.000        7.500
         7                   1    1    1              0.000       -2.500        7.500
         8                   1    1    1              0.000        0.000        7.500
         9                   1    1    1              0.000        2.500        7.500
        10                   1    1    1              0.000        5.000        7.500
        11                   1    1    1              0.000       -5.000        5.000
        12                   1    1    1              0.000       -2.500        5.000
        13                   1    1    1              0.000        0.000        5.000
        14                   1    1    1              0.000        2.500        5.000
        15                   1    1    1              0.000        5.000        5.000
        16                   1    1    1              0.000       -5.000        2.500
        17                   1    1    1              0.000       -2.500        2.500
        18                   1    1    1              0.000        0.000        2.500
        19                   1    1    1              0.000        2.500        2.500
        20                   1    1    1              0.000        5.000        2.500
        21                   1    1    1              0.000       -5.000        0.000
        22                   1    1    1              0.000       -2.500        0.000
        23                   1    1    1              0.000        0.000        0.000
        24                   1    1    1              0.000        2.500        0.000
        25                   1    1    1              0.000        5.000        0.000
        26                   0    0    0              2.500       -5.000       10.000
        27                   0    0    0              2.500       -2.500       10.000
        28                   0    0    0              2.500        0.000       10.000
        29                   0    0    0              2.500        2.500       10.000
        30                   0    0    0              2.500        5.000       10.000
        31                   0    0    0              2.500       -5.000        7.500
        32                   0    0    0              2.500       -2.500        7.500
        33                   0    0    0              2.500        0.000        7.500
        34                   0    0    0              2.500        2.500        7.500
        35                   0    0    0              2.500        5.000        7.500
        36                   0    0    0              2.500       -5.000        5.000
        37                   0    0    0              2.500       -2.500        5.000
        38                   0    0    0              2.500        0.000        5.000
        39                   0    0    0              2.500        2.500        5.000
        40                   0    0    0              2.500        5.000        5.000
        41                   0    0    0              2.500       -5.000        2.500
        42                   0    0    0              2.500       -2.500        2.500
        43                   0    0    0              2.500        0.000        2.500
        44                   0    0    0              2.500        2.500        2.500
        45                   0    0    0              2.500        5.000        2.500
        46                   0    0    0              2.500       -5.000        0.000
        47                   0    0    0              2.500       -2.500        0.000
        48                   0    0    0              2.500        0.000        0.000
        49                   0    0    0              2.500        2.500        0.000
        50                   0    0    0              2.500        5.000        0.000
        51                   0    0    0              5.000       -5.000       10.000
        52                   0    0    0              5.000       -2.500       10.000
        53                   0    0    0              5.000        0.000       10.000
        54                   0    0    0              5.000        2.500       10.000
        55                   0    0    0              5.000        5.000       10.000
        56                   0    0    0              5.000       -5.000        7.500
        57                   0    0    0              5.000       -2.500        7.500
        58                   0    0    0              5.000        0.000        7.500
        59                   0    0    0              5.000        2.500        7.500
        60                   0    0    0              5.000        5.000        7.500
        61                   0    0    0              5.000       -5.000        5.000
        62                   0    0    0              5.000       -2.500        5.000
        63                   0    0    0              5.000        0.000        5.000
        64                   0    0    0              5.000        2.500        5.000
        65                   0    0    0              5.000        5.000        5.000
        66                   0    0    0              5.000       -5.000        2.500
        67                   0    0    0              5.000       -2.500        2.500
        68                   0    0    0              5.000        0.000        2.500
        69                   0    0    0              5.000        2.500        2.500
        70                   0    0    0              5.000        5.000        2.500
        71                   0    0    0              5.000       -5.000        0.000
        72                   0    0    0              5.000       -2.500        0.000
        73                   0    0    0              5.000        0.000        0.000
        74                   0    0    0              5.000        2.500        0.000
        75                   0    0    0              5.000        5.000        0.000
        76                   0    0    0              7.500       -5.000       10.000
        77                   0    0    0              7.500       -2.500       10.000
        78                   0    0    0              7.500        0.000       10.000
        79                   0    0    0              7.500        2.500       10.000
        80                   0    0    0              7.500        5.000       10.000
        81                   0    0    0              7.500       -5.000        7.500
        82                   0    0    0              7.500       -2.500        7.500
        83                   0    0    0              7.500        0.000        7.500
        84                   0    0    0              7.500        2.500        7.500
        85                   0    0    0              7.500        5.000        7.500
        86                   0    0    0              7.500       -5.000        5.000
        87                   0    0    0              7.500       -2.500        5.000
        88                   0    0    0              7.500        0.000        5.000
        89                   0    0    0              7.500        2.500        5.000
        90                   0    0    0              7.500        5.000        5.000
        91                   0    0    0              7.500       -5.000        2.500
        92                   0    0    0              7.500       -2.500        2.500
        93                   0    0    0              7.500        0.000        2.500
        94                   0    0    0              7.500        2.500        2.500
        95                   0    0    0              7.500        5.000        2.500
        96                   0    0    0              7.500       -5.000        0.000
        97                   0    0    0              7.500       -2.500        0.000
        98                   0    0    0              7.500        0.000        0.000
        99                   0    0    0              7.500        2.500        0.000
       100                   0    0    0              7.500        5.000        0.000
       101                   0    0    0             10.000       -5.000       10.000
       102                   0    0    0             10.000       -2.500       10.000
       103                   0    0    0             10.000        0.000       10.000
       104                   0    0    0             10.000        2.500       10.000
       105                   0    0    0             10.000        5.000       10.000
       106                   0    0    0             10.000       -5.000        7.500
       107                   0    0    0             10.000       -2.500        7.500
       108                   0    0    0             10.000        0.000        7.500
       109                   0    0    0             10.000        2.500        7.500
       110                   0    0    0             10.000        5.000        7.500
       111                   0    0    0             10.000       -5.000        5.000
       112                   0    0    0             10.000       -2.500        5.000
       113                   0    0    0             10.000        0.000        5.000
       114                   0    0    0             10.000        2.500        5.000
       115                   0    0    0             10.000        5.000        5.000
       116                   0    0    0             10.000       -5.000        2.500
       117                   0    0    0             10.000       -2.500        2.500
       118                   0    0    0             10.000        0.000        2.500
       119                   0    0    0             10.000        2.500        2.500
       120                   0    0    0             10.000        5.000        2.500
       121                   0    0    0             10.000       -5.000        0.000
       122                   0    0    0             10.000       -2.500        0.000
       123                   0    0    0             10.000        0.000        0.000
       124                   0    0    0             10.000        2.500        0.000
       125                   0    0    0             10.000        5.000        0.000
       126                   0    0    0             12.500       -5.000       10.000
       127                   0    0    0             12.500       -2.500       10.000
       128                   0    0    0             12.500        0.000       10.000
       129                   0    0    0             12.500        2.500       10.000
       130                   0    0    0             12.500        5.000       10.000
       131                   0    0    0             12.500       -5.000        7.500
       132                   0    0    0             12.500       -2.500        7.500
       133                   0    0    0             12.500        0.000        7.500
       134                   0    0    0             12.500        2.500        7.500
       135                   0    0    0             12.500        5.000        7.500
       136                   0    0    0             12.500       -5.000        5.000
       137                   0    0    0             12.500       -2.500        5.000
       138                   0    0    0             12.500        0.000        5.000
       139                   0    0    0             12.500        2.500        5.000
       140                   0    0    0             12.500        5.000        5.000
       141                   0    0    0             12.500       -5.000        2.500
       142                   0    0    0             12.500       -2.500        2.500
       143                   0    0    0             12.500        0.000        2.500
       144                   0    0    0             12.500        2.500        2.500
       145                   0    0    0             12.500        5.000        2.500
       146                   0    0    0             12.500       -5.000        0.000
       147                   0    0    0             12.500       -2.500        0.000
       148                   0    0    0             12.500        0.000        0.000
       149                   0    0    0             12.500        2.500        0.000
       150                   0    0    0             12.500        5.000        0.000
       151                   0    0    0             15.000       -5.000       10.000
       152                   0    0    0             15.000       -2.500       10.000
       153                   0    0    0             15.000        0.000       10.000
       154                   0    0    0             15.000        2.500       10.000
       155                   0    0    0             15.000        5.000       10.000
       156                   0    0    0             15.000       -5.000        7.500
       157                   0    0    0             15.000       -2.500        7.500
       158                   0    0    0             15.000        0.000        7.500
       159                   0    0    0             15.000        2.500        7.500
       160                   0    0    0             15.000        5.000        7.500
       161                   0    0    0             15.000       -5.000        5.000
       162                   0    0    0             15.000       -2.500        5.000
       163                   0    0    0             15.000        0.000        5.000
       164                   0    0    0             15.000        2.500        5.000
       165                   0    0    0             15.000        5.000        5.000
       166                   0    0    0             15.000       -5.000        2.500
       167                   0    0    0             15.000       -2.500        2.500
       168                   0    0    0             15.000        0.000        2.500
       169                   0    0    0             15.000        2.500        2.500
       170                   0    0    0             15.000        5.000        2.500
       171                   0    0    0             15.000       -5.000        0.000
       172                   0    0    0             15.000       -2.500        0.000
       173                   0    0    0             15.000        0.000        0.000
       174                   0    0    0             15.000        2.500        0.000
       175                   0    0    0             15.000        5.000        0.000
       176                   0    0    0             17.500       -5.000       10.000
       177                   0    0    0             17.500       -2.500       10.000
       178                   0    0    0             17.500        0.000       10.000
       179                   0    0    0             17.500        2.500       10.000
       180                   0    0    0             17.500        5.000       10.000
       181                   0    0    0             17.500       -5.000        7.500
       182                   0    0    0             17.500       -2.500        7.500
       183                   0    0    0             17.500        0.000        7.500
       184                   0    0    0             17.500        2.500        7.500
       185                   0    0    0             17.500        5.000        7.500
       186                   0    0    0             17.500       -5.000        5.000
       187                   0    0    0             17.500       -2.500        5.000
       188                   0    0    0             17.500        0.000        5.000
       189                   0    0    0             17.500        2.500        5.000
       190                   0    0    0             17.500        5.000        5.000
       191                   0    0    0             17.500       -5.000        2.500
       192                   0    0    0             17.500       -2.500        2.500
       193                   0    0    0             17.500        0.000        2.500
       194                   0    0    0             17.500        2.500        2.500
       195                   0    0    0             17.500        5.000        2.500
       196                   0    0    0             17.500       -5.000        0.000
       197                   0    0    0             17.500       -2.500        0.000
       198                   0    0    0             17.500        0.000        0.000
       199                   0    0    0             17.500        2.500        0.000
       200                   0    0    0             17.500        5.000        0.000
       201                   0    0    0             20.000       -5.000       10.000
       202                   0    0    0             20.000       -2.500       10.000
       203                   0    0    0             20.000        0.000       10.000
