TITLE = "Example : Job-C3D20-canbeam-40-static"
VARIABLES="NODE_ID"       "U1"           "U2"           "U3"          "E11"          "E22"          "E33"          "E12"          "E13"          "E23"          "S11"          "S22"          "S33"          "S12"          "S13"          "S23"
              1   0.000000E+00   0.000000E+00   0.000000E+00  -2.489253E-03  -7.276746E-21   1.047165E-18  -1.617336E-04   5.135978E-20   8.810179E-04  -7.036927E+02  -3.015826E+02  -3.015826E+02  -1.306310E+01   4.517228E-15   7.115913E+01
              2   0.000000E+00   0.000000E+00   0.000000E+00   5.985338E-16  -2.705152E-19  -2.300605E-19   5.374176E-04   4.004949E-19  -1.733952E-16   1.693185E-10   7.238721E-11   7.243109E-11   4.340681E+01   3.288514E-14  -1.400796E-11
              3   0.000000E+00   0.000000E+00   0.000000E+00   2.489253E-03   1.683613E-19  -1.190102E-18  -1.617336E-04  -2.229523E-19  -8.810179E-04   7.036927E+02   3.015826E+02   3.015826E+02  -1.306310E+01  -1.839392E-14  -7.115913E+01
              4   0.000000E+00   0.000000E+00   0.000000E+00  -2.163226E-03   7.082747E-20  -1.981563E-19  -4.773521E-04  -1.091219E-19   4.205239E-16  -6.115273E+02  -2.620831E+02  -2.620831E+02  -3.855536E+01  -9.215172E-15   3.396533E-11
              5   0.000000E+00   0.000000E+00   0.000000E+00   2.132187E-17  -1.752405E-19  -2.762490E-19   1.865233E-04   2.854704E-20  -7.377178E-18   6.006319E-12   2.541367E-12   2.527901E-12   1.506534E+01   3.244074E-15  -5.985546E-13
              6   0.000000E+00   0.000000E+00   0.000000E+00   2.163226E-03   5.076332E-19   3.115996E-19  -4.773521E-04  -6.353982E-20  -2.791623E-16   6.115273E+02   2.620831E+02   2.620831E+02  -3.855536E+01  -4.563850E-15  -2.254720E-11
              7   0.000000E+00   0.000000E+00   0.000000E+00  -2.489253E-03   5.570591E-19  -1.593841E-20  -1.617336E-04   1.132014E-20  -8.810179E-04  -7.036927E+02  -3.015826E+02  -3.015826E+02  -1.306310E+01   1.137579E-15  -7.115913E+01
              8   0.000000E+00   0.000000E+00   0.000000E+00  -5.399201E-16  -2.072479E-19  -3.330162E-19   5.374176E-04  -1.061205E-19  -1.500119E-16  -1.527206E-10  -6.558267E-11  -6.557740E-11   4.340681E+01  -7.036490E-15  -1.211506E-11
              9   0.000000E+00   0.000000E+00   0.000000E+00   2.489253E-03  -4.291528E-19   1.306665E-19  -1.617336E-04   1.477060E-19   8.810179E-04   7.036927E+02   3.015826E+02   3.015826E+02  -1.306310E+01   1.154480E-14   7.115913E+01
             10  -1.348088E-02  -6.499082E-03   3.974476E-03  -2.869647E-03   9.312083E-04   8.805816E-04   9.129303E-05   3.450880E-05  -9.835110E-05  -5.917218E+02   2.226253E+01   1.408437E+01   7.373668E+00   2.787249E+00  -7.943743E+00
             11   3.373666E-15  -4.518590E-03  -2.539206E-15   7.014818E-16  -1.594590E-16  -2.393316E-16   2.347026E-05  -5.471806E-06   9.469825E-18   1.501324E-10   1.092459E-11  -1.963762E-12   1.895675E+00  -4.419536E-01   7.656505E-13
             12   1.348088E-02  -6.499082E-03  -3.974476E-03   2.869647E-03  -9.312083E-04  -8.805816E-04   9.129303E-05   3.450880E-05   9.835110E-05   5.917218E+02  -2.226253E+01  -1.408437E+01   7.373668E+00   2.787249E+00   7.943743E+00
             13  -1.337994E-02  -8.462449E-03   1.840208E-15  -3.011448E-03   1.021089E-03   7.092087E-04   9.269620E-05  -8.204361E-18   4.918382E-16  -6.416809E+02   9.728957E+00  -4.065175E+01   7.487001E+00  -6.631362E-13   3.972622E-11
             14   1.620003E-16  -6.264387E-03  -2.019731E-15   4.440442E-17  -1.415223E-17  -1.029854E-17  -9.065085E-05   5.268545E-19  -1.015562E-16   9.592771E-12   1.509903E-13   7.793766E-13  -7.321800E+00   4.207745E-14  -8.201815E-12
             15   1.337994E-02  -8.462449E-03  -5.131261E-15   3.011448E-03  -1.021089E-03  -7.092087E-04   9.269620E-05  -7.068490E-18  -6.755393E-16   6.416809E+02  -9.728957E+00   4.065175E+01   7.487001E+00  -5.707657E-13  -5.456235E-11
             16  -1.348088E-02  -6.499082E-03  -3.974476E-03  -2.869647E-03   9.312083E-04   8.805816E-04   9.129303E-05  -3.450880E-05   9.835110E-05  -5.917218E+02   2.226253E+01   1.408437E+01   7.373668E+00  -2.787249E+00   7.943743E+00
             17  -3.035590E-15  -4.518590E-03  -2.431791E-15  -6.281842E-16   1.344072E-16   2.160506E-16   2.347026E-05   5.471806E-06   4.815177E-18  -1.349232E-10  -1.193179E-11   1.246114E-12   1.895675E+00   4.419536E-01   3.854982E-13
             18   1.348088E-02  -6.499082E-03   3.974476E-03   2.869647E-03  -9.312083E-04  -8.805816E-04   9.129303E-05  -3.450880E-05  -9.835110E-05   5.917218E+02  -2.226253E+01  -1.408437E+01   7.373668E+00  -2.787249E+00  -7.943743E+00
             19  -2.763526E-02  -2.677922E-02   4.280484E-03  -2.826881E-03   8.209276E-04   8.363178E-04   1.478469E-05  -3.399706E-06  -4.493754E-06  -5.983559E+02  -9.094515E+00  -6.608394E+00   1.194148E+00  -2.745916E-01  -3.629571E-01
             20   6.360660E-15  -2.467130E-02  -7.587551E-15   5.457438E-16  -1.741246E-16  -1.531169E-16   1.232647E-06  -1.129162E-05  -9.067764E-18   1.145797E-10  -1.680434E-12   1.732503E-12   9.955996E-02  -9.120156E-01  -7.326506E-13
             21   2.763526E-02  -2.677922E-02  -4.280484E-03   2.826881E-03  -8.209276E-04  -8.363178E-04   1.478469E-05  -3.399706E-06   4.493754E-06   5.983559E+02   9.094515E+00   6.608394E+00   1.194148E+00  -2.745916E-01   3.629571E-01
             22  -2.755817E-02  -2.891294E-02   3.313480E-16  -2.852263E-03   8.215488E-04   8.758758E-04   1.025221E-05   4.134897E-18   4.844969E-16  -6.006634E+02  -7.201455E+00   1.574444E+00   8.280632E-01   3.342673E-13   3.913264E-11
             23   3.744333E-16  -2.677208E-02  -7.139826E-15   3.627610E-17  -1.334162E-17  -1.407385E-17  -1.322608E-05  -3.718686E-18  -8.257685E-17   6.988743E-12  -1.036504E-12  -1.157408E-12  -1.068261E+00  -3.004957E-13  -6.669611E-12
             24   2.755817E-02  -2.891294E-02  -1.389572E-14   2.852263E-03  -8.215488E-04  -8.758758E-04   1.025221E-05  -4.875363E-18  -6.804673E-16   6.006634E+02   7.201455E+00  -1.574444E+00   8.280632E-01  -3.938586E-13  -5.496048E-11
             25  -2.763526E-02  -2.677922E-02  -4.280484E-03  -2.826881E-03   8.209276E-04   8.363178E-04   1.478469E-05   3.399706E-06   4.493754E-06  -5.983559E+02  -9.094515E+00  -6.608394E+00   1.194148E+00   2.745916E-01   3.629571E-01
             26  -5.651144E-15  -2.467130E-02  -7.463621E-15  -4.673604E-16   1.341836E-16   1.305625E-16   1.232647E-06   1.129162E-05  -1.915535E-17  -1.000589E-10  -2.865042E-12  -3.422929E-12   9.955996E-02   9.120156E-01  -1.546954E-12
             27   2.763526E-02  -2.677922E-02   4.280484E-03   2.826881E-03  -8.209276E-04  -8.363178E-04   1.478469E-05   3.399706E-06  -4.493754E-06   5.983559E+02   9.094515E+00   6.608394E+00   1.194148E+00   2.745916E-01  -3.629571E-01
             28  -4.186055E-02  -6.153871E-02   4.285153E-03  -2.861538E-03   8.652034E-04   8.598759E-04  -2.002097E-06   1.225443E-06  -1.340339E-06  -5.999347E+02   2.077333E+00   1.216722E+00  -1.617078E-01   9.897807E-02  -1.082582E-01
             29   8.863050E-15  -5.939002E-02  -1.518013E-14   4.551069E-16  -1.549848E-16  -1.335284E-16   4.811192E-08   1.573797E-06  -5.554591E-18   9.369791E-11  -4.896195E-12  -1.414757E-12   3.885963E-03   1.271144E-01  -4.486553E-13
             30   4.186055E-02  -6.153871E-02  -4.285153E-03   2.861538E-03  -8.652034E-04  -8.598759E-04  -2.002097E-06   1.225443E-06   1.340339E-06   5.999347E+02  -2.077333E+00  -1.216722E+00  -1.617078E-01   9.897807E-02   1.082582E-01
             31  -4.186369E-02  -6.368240E-02  -3.770760E-15  -2.856827E-03   8.670801E-04   8.541852E-04  -2.277900E-06  -1.966511E-17   4.663028E-16  -5.990652E+02   2.489098E+00   4.060648E-01  -1.839842E-01  -1.588368E-12   3.766291E-11
             32   5.334640E-16  -6.153267E-02  -1.482591E-14   3.139848E-17  -1.824848E-17  -1.212441E-17   1.864849E-06  -3.765803E-18  -7.879909E-17   5.144676E-12  -2.808420E-12  -1.840431E-12   1.506224E-01  -3.041456E-13  -6.364581E-12
