TITLE = "Example : Job-C3D8-cantilever-beam-rho7800-dyna"
VARIABLES="NODE_ID"       "U1"           "U2"           "U3"          "E11"          "E22"          "E33"          "E12"          "E13"          "E23"          "S11"          "S22"          "S33"          "S12"          "S13"          "S23"
              1   0.000000E+00   0.000000E+00   0.000000E+00  -9.316909E-03   4.766597E-20  -2.661573E-19  -2.370744E-03   1.087067E-20   1.598143E-03  -2.633819E+03  -1.128779E+03  -1.128779E+03  -1.914832E+02  -4.512027E-15   1.290808E+02
              2   0.000000E+00   0.000000E+00   0.000000E+00   5.087187E-17  -5.572206E-20   4.315989E-20  -1.463490E-03   3.179955E-20  -4.278113E-17   1.421990E-11   6.221510E-12   6.209768E-12  -1.182049E+02   7.262305E-15  -3.464354E-12
              3   0.000000E+00   0.000000E+00   0.000000E+00   9.316909E-03   4.600222E-20   1.456875E-19  -2.370744E-03   2.492158E-20  -1.598143E-03   2.633819E+03   1.128779E+03   1.128779E+03  -1.914832E+02   4.335697E-15  -1.290808E+02
              4   0.000000E+00   0.000000E+00   0.000000E+00  -8.894326E-03  -2.791761E-20  -6.013862E-21  -3.086316E-03  -1.640047E-20  -2.696970E-16  -2.514358E+03  -1.077582E+03  -1.077582E+03  -2.492794E+02   3.543614E-16  -2.177271E-11
              5   0.000000E+00   0.000000E+00   0.000000E+00  -4.289081E-17   2.393036E-19  -1.340525E-19  -2.185068E-03   2.011300E-20  -4.218115E-17  -1.183441E-11  -5.137747E-12  -5.075675E-12  -1.764862E+02  -1.662410E-15  -3.412400E-12
              6   0.000000E+00   0.000000E+00   0.000000E+00   8.894326E-03  -6.912221E-20   1.272867E-19  -3.086316E-03  -1.801151E-20   1.977232E-16   2.514358E+03   1.077582E+03   1.077582E+03  -2.492794E+02  -7.791347E-15   1.597392E-11
              7   0.000000E+00   0.000000E+00   0.000000E+00  -9.316909E-03   2.123946E-19  -1.095362E-19  -2.370744E-03  -4.679774E-20  -1.598143E-03  -2.633819E+03  -1.128779E+03  -1.128779E+03  -1.914832E+02  -8.178941E-15  -1.290808E+02
              8   0.000000E+00   0.000000E+00   0.000000E+00  -1.415457E-16  -4.967451E-19   2.043744E-19  -1.463490E-03  -1.587420E-19  -5.927883E-17  -4.032623E-11  -1.732510E-11  -1.736645E-11  -1.182049E+02   4.769053E-15  -4.766259E-12
              9   0.000000E+00   0.000000E+00   0.000000E+00   9.316909E-03  -3.448239E-19   1.566976E-19  -2.370744E-03  -2.329266E-19   1.598143E-03   2.633819E+03   1.128779E+03   1.128779E+03  -1.914832E+02  -2.089518E-14   1.290808E+02
             10  -4.658455E-02  -2.370744E-02   1.598143E-02  -9.635768E-03   1.814509E-03   3.196286E-03  -4.357993E-06  -8.825705E-04   5.788659E-04  -2.116881E+03  -2.672203E+02  -4.401027E+01  -3.519918E-01  -7.128454E+01   4.675456E+01
