TITLE = "EFEP *** Demo imput file: Taylor Bar                        "
VARIABLES= "Time" "engk at     1" "engs at     1" "ener at     1" "seqv at     1"
 
   0.000000D+00   0.544941D+04   0.000000D+00   0.544941D+04   0.000000D+00
   0.362222D-04   0.531318D+04   0.000000D+00   0.531318D+04   0.000000D+00
   0.202820D-02   0.471303D+04   0.437062D+03   0.515010D+04   0.304644D+03
   0.402048D-02   0.417107D+04   0.926975D+03   0.509804D+04   0.308743D+03
   0.600362D-02   0.360637D+04   0.144368D+04   0.505005D+04   0.312259D+03
   0.801555D-02   0.303807D+04   0.196597D+04   0.500404D+04   0.315262D+03
   0.100038D-01   0.250067D+04   0.246663D+04   0.496729D+04   0.317607D+03
   0.120035D-01   0.199668D+04   0.294401D+04   0.494069D+04   0.319401D+03
   0.140067D-01   0.153690D+04   0.338528D+04   0.492218D+04   0.320698D+03
   0.160030D-01   0.113099D+04   0.377891D+04   0.490990D+04   0.321574D+03
   0.180035D-01   0.782906D+03   0.411855D+04   0.490146D+04   0.322102D+03
   0.200079D-01   0.498269D+03   0.439610D+04   0.489437D+04   0.322339D+03
   0.220005D-01   0.281776D+03   0.460498D+04   0.488675D+04   0.194552D+03
   0.240046D-01   0.126786D+03   0.475418D+04   0.488097D+04   0.189554D+03
   0.260091D-01   0.332308D+02   0.484507D+04   0.487830D+04   0.164978D+03
   0.280032D-01   0.177901D+00   0.487753D+04   0.487771D+04   0.134453D+03
   0.300091D-01   0.580839D+01   0.487177D+04   0.487758D+04   0.945421D+02
