TITLE = "Example : Job-27"
VARIABLES="NODE_ID"       "U1"           "U2"           "U3"          "E11"          "E22"          "E33"          "E12"          "E13"          "E23"          "S11"          "S22"          "S33"          "S12"          "S13"          "S23"
              1   0.000000E+00   0.000000E+00   0.000000E+00  -1.839430E-03  -1.516913E-20   3.761301E-21  -3.052003E-04   3.353745E-20   4.664244E-04  -5.199927E+02  -2.228540E+02  -2.228540E+02  -2.465079E+01   2.792873E-15   3.767274E+01
              2   0.000000E+00   0.000000E+00   0.000000E+00  -9.084009E-04  -8.888575E-21   1.286168E-20  -5.709530E-05   1.161177E-20   2.354320E-04  -2.567979E+02  -1.100563E+02  -1.100563E+02  -4.611543E+00   9.357068E-16   1.901566E+01
              3   0.000000E+00   0.000000E+00   0.000000E+00  -8.224659E-18   1.036321E-20  -7.824498E-21   1.433104E-05  -6.294684E-21   4.829682E-19  -2.363277E-12  -1.012569E-12  -1.013085E-12   1.157507E+00  -4.261288E-16   4.054722E-14
              4   0.000000E+00   0.000000E+00   0.000000E+00   9.084009E-04   1.606355E-20  -2.261465E-21  -5.709530E-05   8.834505E-21  -2.354320E-04   2.567979E+02   1.100563E+02   1.100563E+02  -4.611543E+00   7.858479E-16  -1.901566E+01
              5   0.000000E+00   0.000000E+00   0.000000E+00   1.839430E-03  -4.510754E-20   2.513861E-20  -3.052003E-04   3.894784E-20  -4.664244E-04   5.199927E+02   2.228540E+02   2.228540E+02  -2.465079E+01   3.191431E-15  -3.767274E+01
              6   0.000000E+00   0.000000E+00   0.000000E+00  -1.681215E-03   8.487411E-22   3.608735E-20  -4.496525E-04   4.347297E-21   1.906172E-04  -4.752665E+02  -2.036856E+02  -2.036856E+02  -3.631809E+01   4.695227E-16   1.539600E+01
              7   0.000000E+00   0.000000E+00   0.000000E+00  -7.809177E-04  -4.712085E-20  -2.032779E-20  -1.976423E-04  -1.120386E-21   9.610350E-05  -2.207594E+02  -9.461118E+01  -9.461118E+01  -1.596341E+01  -1.914347E-16   7.762206E+00
              8   0.000000E+00   0.000000E+00   0.000000E+00  -1.100494E-17  -1.495183E-20   8.016052E-21  -1.273314E-04  -6.144199E-21  -1.330749E-18  -3.122092E-12  -1.324302E-12  -1.318079E-12  -1.028446E+01  -2.625403E-16  -1.078792E-13
              9   0.000000E+00   0.000000E+00   0.000000E+00   7.809177E-04   5.461985E-21  -1.058970E-20  -1.976423E-04   2.009866E-21  -9.610350E-05   2.207594E+02   9.461118E+01   9.461118E+01  -1.596341E+01   1.948222E-16  -7.762206E+00
             10   0.000000E+00   0.000000E+00   0.000000E+00   1.681215E-03   1.823216E-19  -1.060750E-20  -4.496525E-04  -1.952190E-20  -1.906172E-04   4.752665E+02   2.036856E+02   2.036856E+02  -3.631809E+01  -1.232103E-15  -1.539600E+01
