TITLE = "Example : Job-C3D8-cantilever-beam-rho7800-dyna"
VARIABLES="NODE_ID"       "U1"           "U2"           "U3"          "E11"          "E22"          "E33"          "E12"          "E13"          "E23"          "S11"          "S22"          "S33"          "S12"          "S13"          "S23"
              1   0.000000E+00   0.000000E+00   0.000000E+00  -2.217436E-03   4.615722E-20  -1.131426E-21  -5.980026E-04  -1.630881E-21   3.565647E-04  -6.268522E+02  -2.686509E+02  -2.686509E+02  -4.830021E+01  -1.119187E-16   2.879946E+01
              2   0.000000E+00   0.000000E+00   0.000000E+00   3.825332E-04  -4.130450E-20  -6.466461E-20  -4.116064E-04  -3.350543E-21  -1.151837E-04   1.081392E+02   4.634537E+01   4.634537E+01  -3.324513E+01  -4.179792E-16  -9.303296E+00
              3   0.000000E+00   0.000000E+00   0.000000E+00   3.023325E-03   1.931312E-20   1.648650E-19  -7.355409E-04  -2.275298E-20  -5.423905E-04   8.546708E+02   3.662875E+02   3.662875E+02  -5.940907E+01  -2.016979E-15  -4.380847E+01
              4   0.000000E+00   0.000000E+00   0.000000E+00  -2.396944E-03  -2.705816E-20  -4.394160E-20  -8.492902E-04  -3.031492E-20  -4.573410E-05  -6.775975E+02  -2.903989E+02  -2.903989E+02  -6.859652E+01  -3.031408E-15  -3.693908E+00
              5   0.000000E+00   0.000000E+00   0.000000E+00   9.717381E-05   5.139058E-20   3.220439E-20  -6.145503E-04   7.292507E-21  -6.828336E-05   2.747029E+01   1.177298E+01   1.177298E+01  -4.963675E+01   9.575878E-16  -5.515194E+00
              6   0.000000E+00   0.000000E+00   0.000000E+00   2.606115E-03  -1.139018E-19  -3.206769E-20  -8.867628E-04  -7.895553E-21  -4.573399E-05   7.367286E+02   3.157408E+02   3.157408E+02  -7.162315E+01   6.244479E-16  -3.693900E+00
              7   0.000000E+00   0.000000E+00   0.000000E+00  -2.799743E-03   4.222095E-20   7.198628E-20  -6.978866E-04   2.502803E-21  -5.047363E-04  -7.914659E+02  -3.391997E+02  -3.391997E+02  -5.636777E+01   1.016534E-15  -4.076716E+01
              8   0.000000E+00   0.000000E+00   0.000000E+00  -1.733621E-04  -3.645328E-20  -8.926436E-20  -4.116065E-04   2.469129E-20  -7.771112E-05  -4.900814E+01  -2.100349E+01  -2.100349E+01  -3.324514E+01   1.507499E-15  -6.276668E+00
              9   0.000000E+00   0.000000E+00   0.000000E+00   2.441018E-03   6.514753E-21  -3.647110E-20  -6.356570E-04  -3.615775E-20   3.942191E-04   6.900571E+02   2.957388E+02   2.957388E+02  -5.134153E+01  -6.232066E-15   3.184077E+01
             10  -1.108718E-02  -5.980026E-03   3.565647E-03  -2.296483E-03   3.727925E-04   8.045977E-04   2.220400E-05  -2.204608E-04   1.573297E-04  -5.065528E+02  -7.536209E+01  -5.608946E+00   1.793400E+00  -1.780645E+01   1.270740E+01
             11   1.912666E-03  -4.116064E-03  -1.151837E-03   4.133731E-04  -1.375382E-04  -9.380061E-05   9.692932E-05  -2.465338E-04  -2.469923E-05   8.882982E+01  -1.635556E-01   6.901752E+00   7.828907E+00  -1.991234E+01  -1.994938E+00
             12   1.511663E-02  -7.355409E-03  -5.423905E-03   3.123638E-03  -6.478689E-04  -9.933131E-04  -2.465520E-05  -2.759849E-04  -1.682822E-04   6.841929E+02   7.494947E+01   1.914695E+01  -1.991381E+00  -2.229109E+01  -1.359202E+01
             13  -1.198472E-02  -8.492902E-03  -4.573410E-04  -2.597495E-03   4.694800E-04   8.613010E-04  -1.679435E-04   2.739275E-05   1.076969E-05  -5.730626E+02  -7.762817E+01  -1.433400E+01  -1.356467E+01   2.212491E+00   8.698595E-01
             14   4.858691E-04  -6.145503E-03  -6.828336E-04   1.121041E-04  -3.747254E-05  -3.747254E-05  -7.129049E-05   1.102546E-10  -7.921170E-06   2.261108E+01  -1.551298E+00  -1.551298E+00  -5.758078E+00   8.905178E-06  -6.397868E-01
             15   1.303057E-02  -8.867628E-03  -4.573399E-04   2.822068E-03  -5.444251E-04  -9.366096E-04  -1.788134E-04  -2.739256E-05   1.077012E-05   6.183437E+02   7.452570E+01   1.117281E+01  -1.444262E+01  -2.212476E+00   8.698941E-01
             16  -1.399872E-02  -6.978866E-03  -5.047363E-03  -2.898717E-03   5.725603E-04   9.180044E-04  -1.397531E-05   2.756216E-04  -1.576023E-04  -6.388575E+02  -7.811261E+01  -2.231010E+01  -1.128775E+00   2.226174E+01  -1.272942E+01
             17  -8.668107E-04  -4.116065E-03  -7.771112E-04  -1.888004E-04   6.222963E-05   1.885553E-05   9.692889E-05   2.465340E-04  -1.382931E-05  -4.354865E+01  -2.997643E+00  -1.000423E+01   7.828872E+00   1.991236E+01  -1.116982E+00
             18   1.220509E-02  -6.356570E-03   3.942191E-03   2.521401E-03  -4.481010E-04  -8.799062E-04   1.152374E-05   2.208245E-04   1.680100E-04   5.518875E+02   7.219870E+01   2.445559E+00   9.307634E-01   1.783582E+01   1.357004E+01
             19  -2.296483E-02  -2.555562E-02   1.351521E-03  -2.385152E-03   2.580789E-04   8.095323E-04   1.833628E-05  -1.954670E-04  -1.772686E-06  -5.449189E+02  -1.179355E+02  -2.885454E+01   1.481007E+00  -1.578772E+01  -1.431785E-01
             20   4.133731E-03  -2.426522E-02  -3.347579E-03   4.389430E-04  -1.345408E-04  -8.193572E-05  -2.468395E-06  -2.268753E-04   1.736863E-06   9.785886E+01   5.219169E+00   1.371691E+01  -1.993704E-01  -1.832454E+01   1.402851E-01
             21   3.123638E-02  -2.690102E-02  -7.537748E-03   3.242412E-03  -5.271604E-04  -9.683232E-04   2.064102E-05  -2.425513E-04   7.390171E-06   7.354212E+02   1.264904E+02   5.522561E+01   1.667159E+00  -1.959068E+01   5.968984E-01
             22  -2.597495E-02  -2.830005E-02  -2.696140E-03  -2.754617E-03   3.717886E-04   8.531562E-04   9.281071E-06   2.520905E-05  -2.753520E-07  -6.303024E+02  -1.252675E+02  -4.750817E+01   7.496250E-01   2.036115E+00  -2.223997E-02
             23   1.121041E-03  -2.644110E-02  -2.937900E-03   1.233928E-04  -3.656333E-05  -3.656333E-05  -1.203994E-05   8.646867E-10  -1.337761E-06   2.602261E+01   1.835496E-01   1.835496E-01  -9.724566E-01   6.984008E-05  -1.080500E-01
             24   2.822068E-02  -2.866568E-02  -2.696132E-03   2.993791E-03  -4.449153E-04  -9.246983E-04   1.055129E-05  -2.520779E-05  -2.733946E-07   6.803878E+02   1.249044E+02   4.740104E+01   8.522193E-01  -2.036014E+00  -2.208187E-02
             25  -2.898717E-02  -2.654332E-02  -7.180041E-03  -3.010429E-03   4.556173E-04   8.967801E-04   1.935310E-05   2.441366E-04   6.102247E-06  -6.871768E+02  -1.272771E+02  -5.601238E+01   1.563135E+00   1.971873E+01   4.928738E-01
             26  -1.888004E-03  -2.426523E-02  -2.981946E-03  -1.997690E-04   6.299862E-05   8.809061E-06  -2.470352E-06   2.268766E-04   4.666469E-07  -4.777338E+01  -5.326306E+00  -1.408000E+01  -1.995285E-01   1.832465E+01   3.769071E-02
             27   2.521401E-02  -2.591333E-02   1.709235E-03   2.617120E-03  -3.296201E-04  -8.810734E-04   1.962186E-05   1.938833E-04  -3.058266E-06   5.931595E+02   1.171477E+02   2.806673E+01   1.584842E+00   1.565980E+01  -2.470138E-01
             28  -3.493870E-02  -5.981043E-02  -2.490041E-03  -2.397356E-03   2.887570E-04   7.990302E-04  -4.368057E-06  -1.963606E-04  -1.169129E-06  -5.459244E+02  -1.120139E+02  -2.958516E+01  -3.528046E-01  -1.585989E+01  -9.442967E-02
             29   6.302096E-03  -5.836664E-02  -7.142480E-03   4.337059E-04  -1.337455E-04  -8.223112E-05   1.853970E-06  -2.193449E-04   1.706423E-08   9.643892E+01   4.773692E+00   1.309525E+01   1.497437E-01  -1.771632E+01   1.378265E-03
             30   4.754074E-02  -6.114788E-02  -1.130751E-02   3.264358E-03  -5.562481E-04  -9.644664E-04  -4.169458E-06  -2.457037E-04   2.605431E-07   7.385684E+02   1.213936E+02   5.545067E+01  -3.367639E-01  -1.984530E+01   2.104386E-02
             31  -3.953089E-02  -6.249926E-02  -6.485192E-03  -2.711884E-03   3.834669E-04   8.459730E-04  -9.851234E-07   2.437267E-05   2.062154E-07  -6.176774E+02  -1.176592E+02  -4.294665E+01  -7.956766E-02   1.968561E+00   1.665586E-02
             32   1.719797E-03  -6.058193E-02  -6.731325E-03   1.193220E-04  -3.566112E-05  -3.566112E-05   1.441488E-06   1.691736E-09   1.600751E-07   2.509045E+01   5.471489E-02   5.471489E-02   1.164279E-01   1.366402E-04   1.292914E-02
             33   4.296849E-02  -6.285587E-02  -6.485175E-03   2.950178E-03  -4.547892E-04  -9.175204E-04  -7.576263E-07  -2.437088E-05   2.057661E-07   6.677319E+02   1.176988E+02   4.294995E+01  -6.119289E-02  -1.968417E+00   1.661957E-02
             34  -4.410300E-02  -6.079015E-02  -1.094977E-02  -3.026423E-03   4.846975E-04   8.929159E-04  -4.210702E-06   2.454787E-04   2.192989E-07  -6.886433E+02  -1.214623E+02  -5.551936E+01  -3.400952E-01   1.982713E+01   1.771260E-02
             35  -2.864501E-03  -5.836666E-02  -6.785869E-03  -1.954125E-04   6.219814E-05   1.090888E-05   1.854419E-06   2.193467E-04  -2.104328E-07  -4.638442E+01  -4.770390E+00  -1.305558E+01   1.497800E-01   1.771646E+01  -1.699650E-02
             36   3.837629E-02  -6.016816E-02  -2.132303E-03   2.635269E-03  -3.603012E-04  -8.705744E-04  -4.328835E-06   1.965859E-04  -1.208351E-06   5.958450E+02   1.119452E+02   2.951646E+01  -3.496367E-01   1.587809E+01  -9.759760E-02
